latitude,longitude,elevation,time
41.261642,-96.172119,336.3,2024-11-16T16:52:20
41.262722,-96.172706,337.1,2024-11-16T16:51:40
41.255741,-96.17099,335.7,2024-11-16T16:56:40
41.273396,-96.170524,339.4,2024-11-16T16:43:55
41.268929,-96.173344,338.2,2024-11-16T16:47:10
41.289103,-96.158943,380.9,2024-11-16T16:30:23
41.264466,-96.155345,375.5,2024-11-16T17:29:57
41.277532,-96.167704,339.7,2024-11-16T16:40:40
41.250193,-96.154514,342.9,2024-11-16T17:09:10
41.289722,-96.158039,382.1,2024-11-16T17:46:18
41.28073,-96.157944,366.3,2024-11-16T17:40:19
41.297723,-96.161532,378,2024-11-16T16:19:02
41.266876,-96.173918,338.2,2024-11-16T16:48:45
41.256861,-96.152532,353.5,2024-11-16T17:14:07
41.272189,-96.170615,338.9,2024-11-16T16:44:37
41.297529,-96.157969,368.4,2024-11-16T17:51:10
41.288567,-96.159019,379.4,2024-11-16T16:31:08
41.294271,-96.158309,373.4,2024-11-16T16:22:49
41.251495,-96.154527,343.8,2024-11-16T17:09:59
41.271591,-96.157926,369.5,2024-11-16T17:34:44
41.262581,-96.17257,336.9,2024-11-16T16:51:46
41.264313,-96.151055,384.9,2024-11-16T17:21:37
41.26454,-96.155317,375.7,2024-11-16T17:30:00
41.298418,-96.162867,378.5,2024-11-16T16:18:04
41.268829,-96.173527,338,2024-11-16T16:47:19
41.29671,-96.158025,368.5,2024-11-16T17:50:44
41.277447,-96.157771,348.9,2024-11-16T17:37:52
41.249515,-96.164463,335.7,2024-11-16T17:03:02
41.259944,-96.150571,360,2024-11-16T17:16:41
41.252305,-96.168401,335,2024-11-16T16:59:32
41.257904,-96.170993,334.9,2024-11-16T16:55:05
41.249467,-96.154604,342.1,2024-11-16T17:08:34
41.281448,-96.164356,344.5,2024-11-16T16:36:48
41.29935,-96.163032,376.1,2024-11-16T16:17:24
41.252362,-96.16623,336.7,2024-11-16T17:00:54
41.253757,-96.153282,347.8,2024-11-16T17:11:40
41.263319,-96.148597,382.4,2024-11-16T17:20:00
41.249235,-96.163723,337.7,2024-11-16T17:03:32
41.264396,-96.151572,385.2,2024-11-16T17:22:06
41.288404,-96.161224,370.1,2024-11-16T16:32:05
41.273028,-96.170562,339.2,2024-11-16T16:44:08
41.275962,-96.168758,339.9,2024-11-16T16:42:18
41.284074,-96.157973,381.3,2024-11-16T17:42:56
41.299383,-96.163466,374.3,2024-11-16T16:17:12
41.264363,-96.152886,383.5,2024-11-16T17:22:41
41.282305,-96.157929,376.1,2024-11-16T17:41:44
41.272599,-96.157944,367.7,2024-11-16T17:35:16
41.279192,-96.157874,354.7,2024-11-16T17:39:04
